Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
166.499, -79.7052, -568.5, 136.5, -751.5
166.649, -79.9268, -562.5, 133.5, -751.5
165.999, -79.3461, -571.5, 142.5, -757.5
165.752, -79.0849, -573, 145.5, -754.5
166.386, -79.422, -576, 139.5, -747
165.858, -79.0889, -571.5, 144, -747
166.43, -79.6851, -565.5, 136.5, -750
166.951, -79.9268, -576, 133.5, -751.5
166.286, -79.5538, -565.5, 138, -748.5
167.391, -80.4271, -570, 127.5, -756
166.608, -79.8753, -567, 135, -756
165.964, -79.221, -570, 142.5, -748.5
166.717, -79.9071, -565.5, 133.5, -750
166.493, -79.6148, -574.5, 138, -753
165.964, -79.2839, -570, 142.5, -753
166.208, -79.242, -580.5, 142.5, -750
166.717, -79.9071, -565.5, 133.5, -750
166.107, -79.6257, -564, 139.5, -762
166, -79.4761, -565.5, 141, -759
166.348, -79.5166, -580.5, 141, -762
166.928, -80.0377, -568.5, 132, -751.5
166.107, -79.4428, -564, 139.5, -748.5
165.68, -78.9995, -570, 145.5, -748.5
166.107, -79.4428, -564, 139.5, -748.5
166.036, -79.3594, -561, 139.5, -742.5
166.257, -79.9145, -552, 135, -759
166.691, -80.1533, -558, 132, -760.5
